	Ceftazidime	Pip.Tazo	Gentamicin	Imipenem	Amikacin	Amp.Sulbactam	Trimeth.Sulfa	Meropenem	Ciprofloxacin	Cefepime	Doripenem	Polymixin_B	Tigecycline	Tobramycin	Tetracycline
SAMN02644707 - SRR1171127	6	6	9	10	9	6	6	-1	6	6	-1	13	17	20	-1
SAMN02644712 - SRR1171132	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644713 - SRR1171133	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644714 - SRR1171134	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644721 - SRR1171135	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644722 - SRR1171136	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644723 - SRR1171137	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644724 - SRR1171138	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644725 - SRR1171139	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644726 - SRR1171140	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644727 - SRR1171141	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644728 - SRR1171142	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644729 - SRR1171143	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644730 - SRR1171144	6	14	19	16	23	24	6	8	6	15	12	14	18	-1	-1
SAMN02644698 - SRR1171118	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644696 - SRR1171116	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644697 - SRR1171117	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644699 - SRR1171119	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644700 - SRR1171120	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644701 - SRR1171121	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644702 - SRR1171122	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644703 - SRR1171123	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644704 - SRR1171124	6	8	10	9	13	12	6	-1	6	12	-1	15	17	24	-1
SAMN02644709 - SRR1171129	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02644710 - SRR1171130	6	8	20	8	25	15	6	6	6	12	7	14	20	-1	-1
SAMN02646221 - SRR1171952	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646223 - SRR1171981	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646223 - SRR1171982	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646222 - SRR1171979	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646222 - SRR1171980	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646230 - SRR1171992	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646228 - SRR1171990	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646233 - SRR1171995	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646232 - SRR1171994	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646231 - SRR1171993	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646225 - SRR1171985	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646225 - SRR1171986	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02649419 - SRR1174347	6	17	6	15	21	23	6	11	6	8	11	15	12	-1	-1
SAMN02646382 - SRR1172015	6	11	8	16	24	20	6	15	6	12	10	15	18	-1	-1
SAMN02649417 - SRR1174345	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02646372 - SRR1172004	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646373 - SRR1172005	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646375 - SRR1172007	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646377 - SRR1172009	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646378 - SRR1172010	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646380 - SRR1172012	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646371 - SRR1172003	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02649521 - SRR1174357	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02649522 - SRR1174358	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02649421 - SRR1174349	6	7	7	7	6	8	6	6	6	12	7	15	16	-1	-1
SAMN02649422 - SRR1174350	6	7	7	7	6	8	6	6	6	12	7	15	16	-1	-1
SAMN02649423 - SRR1174351	6	7	7	7	6	8	6	6	6	12	7	15	16	-1	-1
SAMN02649523 - SRR1174359	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02649525 - SRR1174361	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02649528 - SRR1174364	6	7	16	8	20	6	6	7	6	9	6	15	18	-1	-1
SAMN02646224 - SRR1171983	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646224 - SRR1171984	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646747 - SRR1173917	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
SAMN02646226 - SRR1171987	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646227 - SRR1171989	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02646236 - SRR1171998	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02649527 - SRR1174363	6	7	16	8	20	6	6	7	6	9	6	15	18	-1	-1
SAMN02649529 - SRR1174365	6	7	16	8	20	6	6	7	6	9	6	15	18	-1	-1
SAMN02649526 - SRR1174362	6	7	16	8	20	6	6	7	6	9	6	15	18	-1	-1
SAMN02649530 - SRR1174366	6	8	8	17	23	18	6	12	6	7	11	15	17	-1	-1
SAMN02646391 - SRR1172047	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646391 - SRR1172048	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02692956 - SRR1200551	6	9	12	9	24	13	6	6	6	6	6	14	17	-1	-1
SAMN02646390 - SRR1172039	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646390 - SRR1172040	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646374 - SRR1172006	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646383 - SRR1172016	6	11	8	16	24	20	6	15	6	12	10	15	18	-1	-1
SAMN02646376 - SRR1172008	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646379 - SRR1172011	6	11	20	17	25	21	6	10	6	14	10	15	20	-1	-1
SAMN02646384 - SRR1172017	6	11	8	16	24	20	6	15	6	12	10	15	18	-1	-1
SAMN02646386 - SRR1172019	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646387 - SRR1172023	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646388 - SRR1172028	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646388 - SRR1172029	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02649420 - SRR1174348	6	7	7	7	6	8	6	6	6	12	7	15	16	-1	-1
SAMN02649524 - SRR1174360	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02692967 - SRR1200569	20	22	23	29	22	25	22	24	25	22	23	15	23	-1	-1
SAMN02692967 - SRR1200570	20	22	23	29	22	25	22	24	25	22	23	15	23	-1	-1
SAMN02692967 - SRR1200571	20	22	23	29	22	25	22	24	25	22	23	15	23	-1	-1
SAMN02692972 - SRR1200583	25	28	19	30	20	29	21	27	29	28	30	16	23	-1	-1
SAMN02692976 - SRR1200588	6	6	6	6	15	6	6	6	6	10	6	16	20	-1	-1
SAMN02649424 - SRR1174352	6	6	9	10	22	8	6	-1	6	6	-1	15	16	21	-1
SAMN02692981 - SRR1200594	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02692963 - SRR1200561	6	6	7	10	14	15	6	-1	6	14	-1	15	17	23	-1
SAMN02692963 - SRR1200562	6	6	7	10	14	15	6	-1	6	14	-1	15	17	23	-1
SAMN02692948 - SRR1200541	6	6	9	9	14	6	6	-1	6	6	-1	13	16	22	-1
SAMN02692948 - SRR1200542	6	6	9	9	14	6	6	-1	6	6	-1	13	16	22	-1
SAMN02646389 - SRR1172038	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646392 - SRR1172055	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02646393 - SRR1172062	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02649415 - SRR1174341	10	6	6	9	21	13	6	8	6	12	9	16	14	-1	-1
SAMN02649415 - SRR1174342	10	6	6	9	21	13	6	8	6	12	9	16	14	-1	-1
SAMN02692944 - SRR1200531	6	6	9	7	6	10	6	-1	6	10	-1	14	15	20	-1
SAMN02692944 - SRR1200532	6	6	9	7	6	10	6	-1	6	10	-1	14	15	20	-1
SAMN02692944 - SRR1200533	6	6	9	7	6	10	6	-1	6	10	-1	14	15	20	-1
SAMN02692945 - SRR1200534	6	6	10	6	24	6	6	-1	6	6	-1	16	17	23	-1
SAMN02692945 - SRR1200535	6	6	10	6	24	6	6	-1	6	6	-1	16	17	23	-1
SAMN02692945 - SRR1200536	6	6	10	6	24	6	6	-1	6	6	-1	16	17	23	-1
SAMN02692947 - SRR1200540	6	8	13	6	17	17	6	6	6	11	6	16	17	-1	-1
SAMN02692992 - SRR1200607	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02692992 - SRR1200608	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02692993 - SRR1200609	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02692993 - SRR1200610	9	6	6	9	26	8	6	6	6	12	6	16	20	-1	-1
SAMN02692994 - SRR1200611	6	7	16	8	20	6	6	7	6	9	6	15	18	-1	-1
SAMN02692995 - SRR1200612	6	8	8	17	23	18	6	12	6	7	11	15	17	-1	-1
SAMN02692995 - SRR1200613	6	8	8	17	23	18	6	12	6	7	11	15	17	-1	-1
SAMN02692961 - SRR1200557	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02692961 - SRR1200558	6	15	16	17	15	23	6	6	6	13	6	15	17	-1	-1
SAMN02649416 - SRR1174343	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02692950 - SRR1200544	6	6	11	8	11	11	6	7	6	10	7	15	18	-1	-1
SAMN02692964 - SRR1200563	18	14	11	6	23	17	6	6	6	17	6	15	16	-1	-1
SAMN02692964 - SRR1200564	18	14	11	6	23	17	6	6	6	17	6	15	16	-1	-1
SAMN02692964 - SRR1200565	18	14	11	6	23	17	6	6	6	17	6	15	16	-1	-1
SAMN02692965 - SRR1200566	8	10	6	10	11	10	6	6	6	14	6	14	16	-1	-1
SAMN02692968 - SRR1200573	20	15	6	6	10	17	6	6	6	17	6	14	15	-1	-1
SAMN02692968 - SRR1200574	20	15	6	6	10	17	6	6	6	17	6	14	15	-1	-1
SAMN02646385 - SRR1172018	6	9	18	9	21	9	6	8	6	12	8	16	18	-1	-1
SAMN02692966 - SRR1200567	11	7	7	10	14	14	6	6	6	10	6	15	20	-1	-1
SAMN02692966 - SRR1200568	11	7	7	10	14	14	6	6	6	10	6	15	20	-1	-1
SAMN02692970 - SRR1200578	19	10	11	6	23	15	6	6	6	12	6	16	15	-1	-1
SAMN02692970 - SRR1200579	19	10	11	6	23	15	6	6	6	12	6	16	15	-1	-1
SAMN02692970 - SRR1200580	19	10	11	6	23	15	6	6	6	12	6	16	15	-1	-1
SAMN02692949 - SRR1200543	6	6	20	7	23	8	6	6	6	10	6	15	16	-1	-1
SAMN02692973 - SRR1200584	19	20	21	36	22	28	15	22	23	21	30	17	24	-1	-1
SAMN02692955 - SRR1200550	22	25	18	30	22	28	6	19	26	18	19	15	20	-1	-1
SAMN02692954 - SRR1200549	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02692958 - SRR1200553	18	18	22	28	22	24	6	21	6	21	23	15	16	-1	-1
SAMN02692975 - SRR1200587	6	13	17	14	15	23	6	6	6	8	6	14	19	-1	-1
SAMN02692978 - SRR1200590	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02692978 - SRR1200591	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02692979 - SRR1200592	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02692980 - SRR1200593	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02692982 - SRR1200595	6	6	10	6	21	6	6	6	6	6	6	16	18	-1	-1
SAMN02692977 - SRR1200589	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02404496 - SRR1030454	6	6	8	6	13	6	6	6	6	12	6	15	17	-1	-1
SAMN02692946 - SRR1200537	6	6	6	7	6	11	6	-1	6	6	-1	16	18	22	-1
SAMN02692946 - SRR1200539	6	6	6	7	6	11	6	-1	6	6	-1	16	18	22	-1
SAMN02692962 - SRR1200560	7	11	9	6	13	19	6	-1	6	19	-1	14	15	8	-1
SAMN02692962 - SRR1200559	7	11	9	6	13	19	6	-1	6	19	-1	14	15	8	-1
SAMN02692952 - SRR1200547	6	7	15	8	27	15	6	7	6	11	7	15	19	-1	-1
SAMN02692952 - SRR1200546	6	7	15	8	27	15	6	7	6	11	7	15	19	-1	-1
SAMN02692985 - SRR1200598	6	12	6	17	11	12	6	-1	6	13	-1	15	17	10	-1
