	Ceftazidime	Pip.Tazo	Gentamicin	Imipenem	Amikacin	Amp.Sulbactam	Trimeth.Sulfa	Meropenem	Ciprofloxacin	Cefepime	Doripenem	Polymixin_B	Tigecycline	Tobramycin	Tetracycline
SAMN02371053 - SRR1008883	6	8	20	9	22	6	6	-1	6	8	-1	16	18	21	-1
SAMN02371048 - SRR1008877	6	11	6	9	13	19	6	-1	6	13	-1	15	16	6	-1
SAMN02371052 - SRR1008882	6	10	6	9	11	6	6	-1	6	6	-1	16	17	21	-1
SAMN02371051 - SRR1008880	18	20	23	28	24	25	20	22	25	25	20	14	21	-1	-1
SAMN02371051 - SRR1008881	18	20	23	28	24	25	20	22	25	25	20	14	21	-1	-1
SAMN02371047 - SRR1008875	6	6	8	8	13	6	6	-1	6	6	-1	16	16	22	-1
SAMN02371047 - SRR1008876	6	6	8	8	13	6	6	-1	6	6	-1	16	16	22	-1
SAMN02371046 - SRR1008874	6	6	9	9	11	6	6	-1	6	10	-1	15	18	21	-1
SAMN02371043 - SRR1008870	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02371042 - SRR1008869	6	6	6	15	23	16	6	10	6	6	-1	15	15	-1	6
SAMN02371041 - SRR1008868	6	6	21	11	10	14	14	-1	6	12	-1	16	16	23	-1
SAMN02371040 - SRR1008866	18	18	6	10	24	17	18	6	6	11	6	16	17	-1	-1
SAMN02371040 - SRR1008867	18	18	6	10	24	17	18	6	6	11	6	16	17	-1	-1
SAMN02371035 - SRR1008859	6	6	20	7	11	7	6	6	6	10	6	16	19	-1	-1
SAMN02371055 - SRR1008885	6	6	20	6	24	6	6	-1	6	6	-1	16	21	23	-1
SAMN02371059 - SRR1008890	6	6	8	9	12	11	6	-1	6	10	-1	15	16	22	-1
SAMN02371059 - SRR1008891	6	6	8	9	12	11	6	-1	6	10	-1	15	16	22	-1
SAMN02371056 - SRR1008886	6	8	8	8	10	11	6	-1	6	12	-1	15	16	22	-1
SAMN02371049 - SRR1008878	6	18	6	15	14	25	6	11	6	8	6	16	18	-1	-1
SAMN02371045 - SRR1008872	6	9	6	6	12	17	6	-1	6	14	-1	16	16	6	-1
SAMN02371045 - SRR1008873	6	9	6	6	12	17	6	-1	6	14	-1	16	16	6	-1
SAMN02384921 - SRR1019231	8	16	17	23	20	22	6	18	6	14	18	15	18	-1	-1
SAMN02384923 - SRR1019233	22	23	24	32	21	25	22	23	27	24	25	14	23	-1	-1
SAMN02384924 - SRR1019234	24	29	24	29	24	30	20	24	29	26	27	18	25	-1	-1
SAMN02384927 - SRR1019244	10	6	6	6	22	6	6	6	6	6	6	15	15	-1	-1
SAMN02385027 - SRR1019250	6	14	23	17	26	23	6	10	6	10	13	16	17	-1	-1
SAMN02385027 - SRR1019251	6	14	23	17	26	23	6	10	6	10	13	16	17	-1	-1
SAMN02385035 - SRR1019260	27	29	27	31	27	33	22	30	30	29	30	17	24	-1	-1
SAMN02385036 - SRR1019263	23	26	25	30	26	30	24	26	27	24	30	16	23	-1	-1
SAMN02385040 - SRR1019269	21	23	21	30	22	25	25	26	24	23	26	15	21	-1	-1
SAMN02385041 - SRR1019273	19	22	17	30	21	26	6	22	6	19	23	15	19	-1	-1
SAMN02385046 - SRR1019288	6	7	20	8	25	15	6	6	6	10	6	17	13	-1	-1
SAMN02385047 - SRR1019293	19	19	19	32	21	24	6	22	6	20	26	16	23	-1	-1
SAMN02385048 - SRR1019298	21	21	23	32	32	27	17	21	25	22	25	27	20	-1	-1
SAMN02385026 - SRR1019249	19	23	22	27	21	23	18	24	23	21	27	14	17	-1	-1
SAMN02385028 - SRR1019252	6	6	6	6	10	12	15	6	6	6	6	17	16	-1	-1
SAMN02385029 - SRR1019253	6	9	15	10	8	11	6	8	6	10	10	16	20	-1	-1
SAMN02384922 - SRR1019232	10	16	15	22	20	21	6	17	6	14	17	16	18	-1	-1
SAMN02384926 - SRR1019243	19	20	22	28	24	24	20	20	6	21	19	15	15	-1	-1
SAMN02384928 - SRR1019245	18	21	22	35	22	27	21	20	25	20	20	15	21	-1	-1
SAMN02385032 - SRR1019256	10	19	18	17	16	25	6	6	6	18	7	16	16	-1	-1
SAMN02385037 - SRR1019264	19	9	18	6	22	11	21	6	6	15	6	14	16	-1	-1
SAMN02385039 - SRR1019268	6	6	17	9	23	6	6	7	6	6	6	17	21	-1	-1
SAMN02385045 - SRR1019287	6	7	8	7	6	6	6	6	6	6	7	17	17	-1	-1
SAMN02385049 - SRR1019301	22	22	23	27	22	25	19	24	6	22	24	15	18	-1	-1
SAMN02384929 - SRR1019246	6	6	20	6	24	10	14	6	6	10	6	14	18	-1	-1
SAMN02385042 - SRR1019274	19	21	17	28	21	25	6	21	6	18	23	16	17	-1	-1
SAMN02567753 - SRR1068273	10	14	18	16	15	22	6	12	6	16	14	16	16	-1	-1
SAMN02567754 - SRR1068274	6	10	9	9	26	15	6	6	6	15	10	16	18	-1	-1
SAMN02567757 - SRR1068278	22	8	10	6	23	8	6	6	6	17	6	15	18	-1	-1
SAMN02567755 - SRR1068276	6	10	10	10	14	6	6	6	6	14	6	15	19	-1	-1
SAMN02567743 - SRR1068259	10	17	18	16	14	25	6	6	6	18	8	16	17	-1	-1
SAMN02567735 - SRR1068257	6	17	12	16	12	22	6	12	6	10	6	15	18	-1	-1
