SRR1006421
SRR1008836
SRR1008840
SRR1008841
SRR1008842
SRR1008844
SRR1008846
SRR1008849
SRR1008851
SRR1008853
SRR1008854
SRR1008856
SRR1008857
SRR1008858
SRR1008859
SRR1008861
SRR1008862
SRR1008864
SRR1008866
SRR1008868
SRR1008869
SRR1008870
SRR1008872
SRR1008874
SRR1008875
SRR1008877
SRR1008878
SRR1008880
SRR1008882
SRR1008883
SRR1008884
SRR1008885
SRR1008886
SRR1008887
SRR1008889
SRR1008890
SRR1015238
SRR1015242
SRR1015246
SRR1015248
SRR1015262
SRR1015264
SRR1015268
SRR1015270
SRR1015272
SRR1015275
SRR1015281
SRR1015283
SRR1015287
SRR1015289
SRR1015291
SRR1015295
SRR1015296
SRR1015299
SRR1015318
SRR1015319
SRR1019231
SRR1019232
SRR1019233
SRR1019234
SRR1019243
SRR1019244
SRR1019245
SRR1019246
SRR1019249
SRR1019250
SRR1019252
SRR1019253
SRR1019256
SRR1019260
SRR1019263
SRR1019264
SRR1019268
SRR1019269
SRR1019273
SRR1019274
SRR1019287
SRR1019288
SRR1019293
SRR1019298
SRR1019301
SRR1030397
SRR1030398
SRR1030399
SRR1030400
SRR1030401
SRR1030402
SRR1030403
SRR1030404
SRR1030405
SRR1030406
SRR1030410
SRR1030411
SRR1030412
SRR1030413
SRR1030418
SRR1030419
SRR1030420
SRR1030454
SRR1030455
SRR1030457
SRR1030458
SRR1030459
SRR1030465
SRR1030466
SRR1030468
SRR1030469
SRR1030471
SRR1030472
SRR1030473
SRR1030474
SRR1030476
SRR1030480
SRR1030481
SRR1030482
SRR1030484
SRR1030485
SRR1030486
SRR1030488
SRR1033703
SRR1033726
SRR1068254
SRR1068255
SRR1068257
SRR1068259
SRR1068261
SRR1068262
SRR1068263
SRR1068265
SRR1068267
SRR1068268
SRR1068270
SRR1068271
SRR1068273
SRR1068274
SRR1068276
SRR1068278
SRR1068279
SRR1103711
SRR1103712
SRR1103713
SRR1103714
SRR1103715
SRR1103716
SRR1103717
SRR1103718
SRR1103719
SRR1103720
SRR1103722
SRR1103723
SRR1103724
SRR1103725
SRR1103726
SRR1103727
SRR1103728
SRR1103729
SRR1103730
SRR1103732
SRR1103734
SRR1103736
SRR1103737
SRR1103749
SRR1103751
SRR1103754
SRR1103756
SRR1103757
SRR1103758
SRR1103759
SRR1103760
SRR1103761
SRR1103762
SRR1103763
SRR1103764
SRR1103765
SRR1103766
SRR1103767
SRR1103768
SRR1151595
SRR1151807
SRR1151813
SRR1151818
SRR1151819
SRR1151825
SRR1151834
SRR1151843
SRR1151844
SRR1151895
SRR1151901
SRR1151909
SRR1151914
SRR1151915
SRR1151920
SRR1151937
SRR1151942
SRR1151951
SRR1151953
SRR1151962
SRR1151970
SRR1151972
SRR1151981
SRR1151987
SRR1151996
SRR1152001
SRR1152002
SRR1171085
SRR1171086
SRR1171087
SRR1171088
SRR1171089
SRR1171090
SRR1171095
SRR1171096
SRR1171097
SRR1171098
SRR1171099
SRR1171100
SRR1171101
SRR1171102
SRR1171103
SRR1171104
SRR1171105
SRR1171106
SRR1171107
SRR1171108
SRR1171109
SRR1171110
SRR1171111
SRR1171112
SRR1171113
SRR1171116
SRR1171117
SRR1171118
SRR1171119
SRR1171120
SRR1171121
SRR1171122
SRR1171123
SRR1171124
SRR1171125
SRR1171126
SRR1171127
SRR1171128
SRR1171129
SRR1171130
SRR1171131
SRR1171132
SRR1171133
SRR1171134
SRR1171135
SRR1171136
SRR1171137
SRR1171138
SRR1171139
SRR1171140
SRR1171141
SRR1171142
SRR1171143
SRR1171144
SRR1171952
SRR1171979
SRR1171981
SRR1171983
SRR1171985
SRR1171987
SRR1171989
SRR1171990
SRR1171992
SRR1171993
SRR1171994
SRR1171995
SRR1171998
SRR1172003
SRR1172004
SRR1172005
SRR1172006
SRR1172007
SRR1172008
SRR1172009
SRR1172010
SRR1172011
SRR1172012
SRR1172015
SRR1172016
SRR1172017
SRR1172018
SRR1172019
SRR1172023
SRR1172028
SRR1172038
SRR1172039
SRR1172047
SRR1172055
SRR1172062
SRR1173917
SRR1174341
SRR1174343
SRR1174345
SRR1174347
SRR1174348
SRR1174349
SRR1174350
SRR1174351
SRR1174352
SRR1174357
SRR1174358
SRR1174359
SRR1174360
SRR1174361
SRR1174362
SRR1174363
SRR1174364
SRR1174365
SRR1174366
SRR1200531
SRR1200534
SRR1200540
SRR1200541
SRR1200543
SRR1200544
SRR1200549
SRR1200550
SRR1200551
SRR1200553
SRR1200557
SRR1200561
SRR1200563
SRR1200566
SRR1200567
SRR1200569
SRR1200573
SRR1200578
SRR1200583
SRR1200584
SRR1200587
SRR1200588
SRR1200589
SRR1200590
SRR1200592
SRR1200593
SRR1200594
SRR1200595
SRR1200607
SRR1200609
SRR1200611
SRR1200612
